CB1	CB2	Jaccard_score
13644_51562_134186	51562_134186_134185	0.833333
104605_134185_134186	13644_51562_134186	0.571429
134317_20544_149661	13644_73019_51562	0.250000
13644_73019_51562	17357_50403_51562	0.444444
13644_73019_51562	50403_51562_73019	0.444444
13929_53365_60994	53365_13929_60149	0.555556
13929_144306_244445	13929_53365_193501	0.258065
13929_53365_193501	167933_167933_167933	0.384615
13929_53365_193501	167933_167933_193501	0.444444
13929_53365_193501	53364_167933_167933	0.400000
13929_53365_193501	167933_53364_228768	0.384615
13929_53365_193501	53365_193501_167933	0.500000
13929_53365_193501	53365_13929_144306	0.652174
13929_105054_199169	151493_201606_236162	0.400000
105054_199169_244445	13929_105054_199169	0.875000
13929_105054_199169	229422_93313_229422	0.384615
13929_105054_199169	144349_244445_199169	0.714286
105054_13929_236162	13929_105054_244445	0.657143
13929_105054_244445	13929_236162_201606	0.400000
13929_105054_244445	144349_207289_244445	0.269231
105054_244445_207289	13929_105054_244445	0.384615
13929_144306_80238	144306_80238_244445	0.857143
13929_144306_185068	201245_64172_243533	0.250000
13929_144306_185068	144306_185068_244445	0.833333
13929_144306_185068	144349_244445_185068	0.833333
13929_144306_244445	144306_244445_144349	0.333333
13929_144306_244445	144306_13929_185066	0.250000
13929_144306_244445	167933_167933_193501	0.307692
13929_144306_244445	84202_2654_244445	0.250000
13929_144306_244445	53364_167933_167933	0.250000
13929_144306_244445	53365_193501_167933	0.259259
13929_144306_244445	53365_13929_144306	0.375000
13929_185066_60994	144306_244445_144349	0.538462
13929_185066_60994	144306_13929_185066	0.700000
105054_13929_236162	13929_236162_151493	0.303030
105054_244445_144349	13929_236162_151493	0.333333
13929_236162_151493	22706_151493_236162	0.454545
105054_13929_236162	13929_236162_201606	0.470588
13929_236162_201606	151493_201606_236162	0.411765
13929_236162_201606	144349_207289_244445	0.315789
105054_244445_207289	13929_236162_201606	0.333333
13929_236162_201606	51290_201606_236162	0.411765
13929_236162_201606	151493_51290_201606	0.352941
14123_102958_84677	175843_234477_190567	0.250000
16039_22827_93413	38973_60725_42045	0.250000
16039_22827_93413	22827_16039_159418	0.307692
159417_42047_159418	16039_22827_93413	0.307692
16039_159418_42047	16039_22827_93413	0.307692
16039_22827_93413	84861_153060_159420	0.363636
16039_22827_93413	60721_102932_166987	0.444444
16039_159418_42047	60725_42045_159467	0.466667
16039_159418_42047	42046_159417_42047	0.800000
16039_159418_42047	38973_60725_42045	0.533333
16039_159418_42047	22827_16039_159418	1.000000
159417_42047_159418	16039_159418_42047	1.000000
16039_159418_42047	22828_47316_51671	0.333333
16039_159418_42047	51671_38973_60725	0.600000
16039_159418_42047	42046_22828_47316	0.333333
16039_159418_42047	22828_42046_159417	0.727273
16039_159418_42047	38973_51671_47316	0.333333
16039_159418_42047	22829_51671_38973	0.500000
16039_159418_42047	22828_22829_51671	0.500000
134317_20544_149661	17357_50403_51562	0.300000
17357_50403_51562	50403_51562_73019	1.000000
17357_50403_51562	50405_156712_112879	0.300000
133169_84202_143697	17363_243824_228603	0.333333
17363_243824_228603	42156_228603_243824	0.461538
17363_243824_228603	193134_42156_228603	0.400000
17363_243824_228603	84202_133169_193134	0.416667
17363_243824_228603	71134_17363_243824	0.833333
17365_20167_236281	20167_17365_144617	0.833333
17365_20167_236281	20167_236281_201439	1.000000
17365_20167_236281	42156_75856_243824	0.272727
17365_20167_236281	75856_42156_193134	0.250000
17365_20167_236281	20165_193134_42156	0.300000
17365_20167_236281	193134_20165_228768	0.300000
17365_20167_236281	50246_153524_201079	0.250000
134996_51400_212530	17365_20167_236281	0.250000
17365_20167_236281	51400_212530_134997	0.250000
17365_53610_238346	204770_68071_243824	0.280000
17365_53610_238346	53610_17365_144617	0.727273
17365_53610_238346	42156_32634_243824	0.650000
17365_53610_238346	32634_243824_68071	0.684211
17365_53610_238346	32634_42156_193134	0.700000
17365_53610_238346	53610_238346_156269	0.625000
17365_53610_238346	42156_193134_133886	0.375000
17365_53610_238346	28838_122939_144617	0.312500
115091_134715_185588	17365_84872_185588	0.285714
17365_84872_185588	50246_115091_134715	0.250000
17365_84872_185588	84872_17365_181092	0.500000
17365_84872_185588	84872_185588_134715	0.555556
17365_144617_122939	17365_234857_80765	0.380711
144617_17365_234857	17365_144617_122939	0.649485
144617_236437_159727	17365_144617_236437	0.368421
17365_144617_236437	32634_243824_68071	0.250000
17365_181092_122939	42156_42250_243824	0.357143
17365_181092_122939	181092_17365_202778	0.315789
17365_181092_122939	17365_234857_185588	0.333333
17365_181092_122939	181092_17365_234857	0.368421
17365_181092_122939	32635_122939_181092	0.526316
17365_181092_122939	42250_42156_210425	0.333333
17365_201753_122939	17365_234857_188494	0.250000
122939_195007_243606	17365_201753_122939	0.358974
17365_201753_122939	201753_17365_234857	0.937500
17365_201753_122939	195007_122939_201753	0.875000
17365_201753_122939	234857_188494_236336	0.270270
17365_202778_185588	202778_185588_236275	0.314286
115091_236275_185588	17365_202778_185588	0.250000
144617_17365_202778	17365_202778_185588	0.628571
144617_17365_234857	17365_234857_80765	0.571429
17365_234857_80765	24768_80765_234857	0.365385
159287_144203_234857	17365_234857_144203	0.294118
17365_234857_144203	24768_144203_234857	0.314286
115091_236275_185588	17365_234857_185588	0.263158
17365_234857_185588	181092_17365_234857	0.777778
17365_234857_185588	234857_185588_236275	0.555556
122939_195007_243606	17365_234857_188494	0.377358
17365_234857_188494	201753_17365_234857	0.275000
17365_234857_188494	234857_188494_236336	0.558140
144617_122939_195007	17365_234857_188494	0.275000
17365_240523_122939	202778_17365_240523	0.666667
20165_193134_42156	20167_17365_144617	0.272727
20165_193134_42156	20167_236281_201439	0.300000
20165_193134_42156	42156_75856_243824	0.700000
20165_193134_42156	75856_42156_193134	0.636364
193134_20165_228768	20165_193134_42156	1.000000
20165_193134_42156	75856_243824_80982	0.750000
133941_238571_228515	20165_193134_42156	0.300000
142369_228515_238571	20165_193134_42156	0.384615
20165_193134_42156	20165_228768_53364	0.750000
20165_228768_53364	42156_75856_243824	0.500000
20165_228768_53364	75856_42156_193134	0.454545
193134_20165_228768	20165_228768_53364	0.750000
20165_228768_53364	75856_243824_80982	0.714286
133941_238571_228515	20165_228768_53364	0.375000
142369_228515_238571	20165_228768_53364	0.454545
20167_17365_144617	20167_236281_201439	0.833333
20167_17365_144617	42156_75856_243824	0.363636
20167_17365_144617	75856_42156_193134	0.333333
193134_20165_228768	20167_17365_144617	0.272727
20167_75937_144617	84124_50227_236437	0.320000
